Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	178478	0.0024113903065	0.00549943404999	0.00672313914169	0.00244025583174
Bacteria,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Finegoldia,	1096610	0.000319392262594	0.000493653247061	0.00242024330887	0.000211556415323
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae	4375080	0.0003560858379	0.000513908605422	0.00249114034488	0.000258650100191
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister,	4437515	0.00187360003454	0.0112342226534	0.00706139855635	0.00192406369491
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,simulans	912997	0.000782587796517	0.00792605553723	0.00549873035971	0.0020190070801
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	185420	0.00102735714155	0.00118640267621	0.00209392722889	0.000886336216153
Bacteria,Firmicutes,Clostridia,Clostridiales,	173876	0.00287555632273	0.0121540626768	0.00800277539131	0.00692019917548
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	185203	0.000295218216294	0.00042380927099	0.000492424990407	0.000381633754036
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,	198636	0.00115791941226	0.00134223483057	0.00280988260748	0.000968197906184
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,	4474255	0.0012814100858	0.00119309393974	0.00320064168601	0.000659785946434
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	182157	0.000227411362944	0.000272690796057	0.000423604421756	0.000251192381888
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4412546	0.000737299670697	0.00526663562115	0.00171659629618	0.00127920398384
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4412540	0.00162746849044	0.00415735188946	0.00440735648134	0.00224242297924
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4396292	9.75050235524e-05	0.000268029360873	0.000153506845991	0.000189678819384
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	3465233	0.00302687203278	0.00923582834869	0.00775742836409	0.00357050888658
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	730906	0.000355611897054	0.000799691101205	0.000842767481815	0.00050010711597
Bacteria,Firmicutes,Clostridia,Clostridiales,	188574	0.00060495316195	0.00196007315146	0.00100570059112	0.00129315813555
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4465072	0.00138748868025	0.00452626589639	0.00479484944374	0.00222215208043
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,	3409358	0.00198773218618	0.00847429380018	0.00671920406266	0.00339185226449
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,	4459196	0.000346954838529	0.00113198430082	0.0011085144118	0.000538220638815
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	191755	0.00127022988686	0.00101760268035	0.0023609383775	0.000823858362916
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,	2951214	0.00197981053882	0.0040276141897	0.00371340575621	0.00273962005914
